name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
宇和町下川処理場,"[132.552841, 33.348663]",宇和町(愛媛県),100,山間,破砕ごみ・中間処理残査,7516,埋立中,愛媛県西予市宇和町下川
野村町惣川不燃物捨場,"[132.79538, 33.473557]",野村町(愛媛県),86,山間,不燃ごみ,5600,埋立中,愛媛県西予市野村町惣川
三間町是能不燃物処理場,"[132.568512, 33.291096]",三間町(愛媛県),84,山間,不燃ごみ,18550,埋立中,愛媛県宇和島市三間町是能
松野町一般廃棄物最終処分場,"[132.711304, 33.227142]",松野町(愛媛県),48,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,7000,埋立中,愛媛県松野町
大島地区衛生事務組合一般廃棄物最終処分場,"[133.360168, 33.999123]",大島地区衛生事務組合(愛媛県),59,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,9716,埋立中,愛媛県新居浜市大島
大島地区衛生事務組合一般廃棄物最終処分場,"[133.360168, 33.999123]",大島地区衛生事務組合(愛媛県),100,山間,不燃ごみ,50300,埋立前,愛媛県新居浜市大島
伊予地区ごみ処理施設管理組合伊予地区清掃センター,"[132.703842, 33.757866]",伊予地区ごみ処理施設管理組合(愛媛県),100,山間,焼却残渣,17603,埋立終了,愛媛県伊予郡
高知市三里最終処分場,"[133.517639, 33.563202]",高知市(高知県),61,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,698000,埋立中,高知県高知市三ノ丸
安芸市一般廃棄物最終処分場,"[133.906738, 33.502434]",安芸市(高知県),14,山間,不燃ごみ・資源・直接搬入ごみ・焼却残渣,130000,埋立中,高知県安芸市
土佐市一般廃棄物最終処分場,"[133.425201, 33.496029]",土佐市(高知県),25,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,122000,埋立中,高知県土佐市
